result,coverage,p-value,capitalRisk
1,0.6081312900274474,1.2628222176610114e-33,3.361481124374229e-34
2,0.7030483240455793,7.400585223687099e-37,3.354080539150542e-34
3,0.7849304458121933,2.896724832832083e-35,3.064408055867334e-34
4,0.8470457664476421,2.536876321589897e-36,3.039039292651434e-34
5,0.8836890751060468,1.909897030676127e-37,3.0371293956207574e-34
6,0.9172666451800715,7.167811976668849e-38,3.036412614423091e-34
7,0.9349060134741745,9.347949005571938e-35,2.101617713865897e-34
8,0.9520762288946186,3.404856782274335e-39,2.1015836652980737e-34
9,0.9678025971055477,1.7426051316329412e-34,3.58978533665134e-35
10,0.9806932545953589,3.589785336651336e-35,0.0
